txn_date,vehicle_id,litres,price_per_litre,total_cost,station,card_ref
07/05/2026,VH-001,"12,33","1,652","€ 20,36",Shell,FC756895
09/11/2025,VH-001,"10,41","1,812","€ 18,86",Avin,FC983218
03/05/2025,VH-001,"12,01","1,773","€ 21,29",eko,FC143447
19/09/2025,VH-001,"10,56","1,786","€ 18,86",EKO,FC168250
23/04/2026,VH-001,"9,10","1,694","€ 15,42",EKO,FC360401
22/10/2025,VH-001,"7,34","1,708","€ 12,54",Shell,FC185738
29/07/2025,VH-001,"11,48","1,733","€ 19,90",Shell,FC718451
15/05/2026,VH-001,"14,17","1,550","€ 21,96",Avin,FC491524
20/12/2025,VH-001,"9,87","1,777","€ 17,54",Shell,FC949397
16/07/2025,VH-001,"12,36","1,732","€ 21,41",eko,FC454663
18/01/2026,VH-001,"14,17","1,600","€ 22,67",EKO,FC768403
25/06/2026,VH-001,"12,94","1,554","€ 20,11",eko,FC334186
08/07/2026,VH-001,"12,54","1,748","€ 21,93",Shell,FC899246
24/02/2025,VH-001,"9,27","1,775","€ 16,45",Avin,FC484543
13/06/2026,VH-001,"10,63","1,525","€ 16,21",eko,FC939323
27/01/2026,VH-001,"11,21","1,554","€ 17,42",eko,FC634476
06/08/2025,VH-001,"12,29","1,716","€ 21,10",EKO,FC229346
05/01/2026,VH-001,"7,29","1,815","€ 13,23",Avin,FC489637
21/02/2026,VH-001,"12,51","1,566","€ 19,58",shell,FC387468
23/03/2025,VH-001,"10,49","1,748","€ 18,33",shell,FC919223
04/06/2025,VH-001,"16,09","1,534","€ 24,69",Avin,FC437176
16/08/2025,VH-001,"7,40","1,689","€ 12,49",eko,FC508499
03/06/2026,VH-001,"5,46","1,795","€ 9,80",eko,FC165463
17/06/2025,VH-001,"15,90","1,833","€ 29,14",BP,FC391879
11/05/2026,VH-001,"18,29","1,584","€ 28,97",eko,FC382436
03/01/2026,VH-001,"10,25","1,773","€ 18,17",shell,FC295521
12/01/2026,VH-001,"13,73","1,601","€ 21,98",Avin,FC322048
28/04/2026,VH-001,"9,99","1,912","€ 19,10",Shell,FC266115
11/05/2026,VH-001,"9,01","1,860","€ 16,75",Shell,FC955415
07/01/2026,VH-001,"11,53","1,648","€ 19,00",Shell,FC786463
19/01/2025,VH-001,"6,70","1,923","€ 12,88",eko,FC734442
24/04/2025,VH-001,"12,86","1,768","€ 22,74",Avin,FC268538
08/06/2025,VH-001,"9,54","1,933","€ 18,44",EKO,FC331997
20/08/2025,VH-001,"13,19","1,728","€ 22,80",Shell,FC934361
09/03/2025,VH-001,"12,54","1,669","€ 20,93",BP,FC633253
12/05/2026,VH-001,"9,61","1,546","€ 14,86",EKO,FC524947
30/04/2025,VH-001,"10,62","1,861","€ 19,76",Avin,FC279014
25/06/2026,VH-001,"8,66","1,853","€ 16,04",eko,FC206382
04/03/2025,VH-001,"7,50","1,827","€ 13,71",BP,FC981270
03/03/2026,VH-001,"8,88","1,918","€ 17,03",eko,FC803248
18/02/2025,VH-001,"9,54","1,787","€ 17,05",BP,FC154586
15/08/2025,VH-001,"5,88","1,920","€ 11,30",Avin,FC761993
05/10/2025,VH-001,"8,34","1,524","€ 12,72",BP,FC102426
16/10/2025,VH-001,,"1,811","€ 27,75",EKO,FC634521
22/07/2025,VH-001,"13,32","1,715","€ 22,85",Avin,FC634502
03/01/2026,VH-001,"6,70","1,912","€ 12,81",Shell,FC840351
30/04/2025,VH-001,"8,97","1,596","€ 14,32",Avin,FC529697
21/04/2026,VH-001,"12,31","1,563","€ 19,24",Avin,FC105551
26/01/2025,VH-001,"13,82","1,678","€ 23,20",Avin,FC463463
22/05/2026,VH-001,"10,86","1,835","€ 19,93",shell,FC812020
17/09/2025,VH-001,"9,63","1,739","€ 16,74",shell,FC753821
20/07/2025,VH-001,"8,30","1,629","€ 13,52",eko,FC863403
20/05/2025,VH-001,"9,27","1,857","€ 17,21",BP,FC906931
20/03/2026,VH-001,"12,14","1,894","€ 23,00",Avin,FC647625
04/06/2025,VH-001,"10,24","1,569","€ 16,07",EKO,FC831103
25/06/2025,VH-001,"13,52","1,861","€ 25,17",eko,FC188704
09/05/2026,VH-001,"11,41","1,797","€ 20,50",Avin,FC832892
21/08/2025,VH-001,"15,24","1,794","€ 27,35",eko,FC256068
03/05/2025,VH-001,"13,26","1,555","€ 20,62",Shell,FC848503
23/02/2025,VH-001,"8,22","1,916","€ 15,75",BP,FC368939
26/02/2025,VH-001,"11,61","1,816","€ 21,08",Shell,FC195734
06/09/2025,VH-001,"10,46","1,778","€ 18,60",Avin,FC999029
04/06/2026,VH-001,"13,05","1,935","€ 25,25",Shell,FC103002
10/11/2025,VH-001,"8,44","1,919","€ 16,19",eko,FC938069
15/06/2026,VH-001,"10,48","1,677","€ 17,58",eko,FC987967
12/01/2025,VH-001,"10,28","1,903","€ 19,57",Shell,FC513364
13/02/2025,VH-001,"10,72","1,884","€ 20,20",shell,FC974230
23/09/2025,VH-001,"12,83","1,849","€ 23,73",BP,FC512216
15/03/2026,VH-001,"6,03","1,917","€ 11,56",shell,FC727455
19/01/2026,VH-001,"10,62","1,904","€ 20,22",EKO,FC366741
31/07/2025,VH-001,"8,21","1,900","€ 15,61",Shell,FC520197
03/07/2026,VH-001,"8,11","1,889","€ 15,32",EKO,FC459843
16/12/2025,VH-001,"5,85","1,856","€ 10,85",Avin,FC199825
14/07/2025,VH-001,"9,82","1,526","€ 14,99",Shell,FC891642
04/02/2026,VH-001,"14,57","1,528","€ 22,26",Avin,FC891732
03/06/2026,VH-001,"8,37","1,781","€ 14,91",Avin,FC156890
18/07/2025,VH-001,"6,51","1,618","€ 10,53",Shell,FC365084
20/02/2025,VH-001,"15,07","1,728","€ 26,04",EKO,FC160093
15/01/2026,VH-001,"8,94","1,896","€ 16,95",Avin,FC288957
29/08/2025,VH-001,"15,09","1,538","€ 23,21",Avin,FC289838
02/07/2026,VH-001,"6,78","1,911","€ 12,95",Avin,FC728537
15/06/2025,VH-001,"13,14","1,666","€ 21,90",Avin,FC434088
06/06/2026,VH-001,"8,88","1,873","€ 16,63",shell,FC857708
21/04/2025,VH-001,"8,54","1,597","€ 13,63",eko,FC219259
03/06/2025,VH-001,"5,77","1,685","€ 9,72",Shell,FC412899
16/09/2025,VH-001,"5,96","1,791","€ 10,68",EKO,FC382744
27/05/2025,VH-001,"5,22","1,524","€ 7,95",EKO,FC250654
17/06/2026,VH-001,"14,44","1,792","€ 25,88",EKO,FC571143
02/02/2026,VH-001,"11,30","1,568","€ 17,72",Shell,FC526011
12/04/2025,VH-001,"11,02","1,721","€ 18,97",Shell,FC510870
25/01/2026,VH-001,"15,32","1,673","€ 25,62",eko,FC503944
30/08/2025,VH-001,"7,44","1,624","€ 12,08",Shell,FC471505
26/12/2025,VH-001,"13,96","1,679","€ 23,44",shell,FC979232
06/10/2025,VH-001,"10,28","1,692","€ 17,40",BP,FC801217
19/05/2026,VH-001,"12,28","1,695","€ 20,81",eko,FC577567
28/04/2026,VH-001,"19,04","1,646","€ 31,34",Avin,FC503277
16/01/2025,VH-001,"12,52","1,577","€ 19,75",Shell,FC865129
12/02/2026,VH-001,"12,01","1,811","€ 21,76",Avin,FC671163
12/09/2025,VH-001,"8,46","1,855","€ 15,69",shell,FC839069
21/01/2026,VH-001,"11,82","1,934","€ 22,86",shell,FC374794
06/07/2026,VH-001,"14,97","1,571","€ 23,52",Shell,FC579818
20/01/2025,VH-001,"8,53","1,905","€ 16,26",eko,FC324316
16/05/2025,VH-001,"8,12","1,745","€ 14,16",BP,FC820186
05/05/2025,VH-001,"15,98","1,652","€ 26,40",EKO,FC626995
15/09/2025,VH-001,"7,69","1,842","€ 14,16",BP,FC211535
22/04/2025,VH-001,"10,21","1,788","€ 18,26",shell,FC630158
01/01/2026,VH-001,"14,68","1,594","€ 23,40",shell,FC818670
25/08/2025,VH-001,"9,94","1,815","€ 18,03",Avin,FC317821
06/07/2025,VH-001,"14,08","1,534","€ 21,59",Shell,FC815282
27/06/2026,VH-001,"9,58","1,681","€ 16,11",Avin,FC490913
08/11/2025,VH-001,"15,12","1,644","€ 24,85",Shell,FC667820
04/07/2026,VH-001,"9,33","1,851","€ 17,26",Shell,FC789638
11/06/2026,VH-001,"4,81","1,938","€ 9,32",EKO,FC642020
26/02/2026,VH-001,"15,07","1,584","€ 23,88",Shell,FC974823
29/05/2025,VH-001,"12,71","1,610","€ 20,46",Shell,FC649503
10/12/2025,VH-001,"10,35","1,740","€ 18,01",EKO,FC592394
02/02/2026,VH-001,"7,02","1,687","€ 11,85",eko,FC769466
09/07/2025,VH-001,"12,84","1,775","€ 22,79",Avin,FC509360
15/05/2025,VH-001,"8,29","1,861","€ 15,43",BP,FC512744
01/10/2025,VH-001,"7,33","1,899","€ 13,91",eko,FC583594
25/03/2026,VH-001,"13,82","1,768","€ 24,44",EKO,FC883944
22/03/2025,VH-001,"13,35","1,881","€ 25,11",shell,FC641815
01/05/2025,VH-001,"11,23","1,603","€ 18,00",Shell,FC554013
27/06/2026,VH-001,"12,12","1,871","€ 22,69",eko,FC325921
16/05/2026,VH-001,"13,48","1,583","€ 21,35",EKO,FC431013
20/12/2025,VH-001,"13,88","1,763","€ 24,47",BP,FC679458
21/09/2025,VH-001,"13,54","1,661","€ 22,49",EKO,FC793626
24/02/2025,VH-001,"11,75","1,911","€ 22,46",Avin,FC477548
20/05/2025,VH-001,"12,74","1,594","€ 20,31",EKO,FC467570
19/04/2025,VH-001,"16,44","1,578","€ 25,93",BP,FC521850
05/03/2026,VH-001,"9,76","1,766","€ 17,23",shell,FC461479
22/04/2025,VH-001,"15,21","1,663","€ 25,29",EKO,FC316556
17/12/2025,VH-001,"17,61","1,673","€ 29,45",EKO,FC705758
26/01/2025,VH-001,"12,80","1,674","€ 21,43",Shell,FC915263
16/05/2026,VH-001,"10,84","1,862","€ 20,18",eko,FC559721
10/02/2026,VH-001,"17,06","1,747","€ 29,80",Shell,FC172945
31/05/2026,VH-001,"10,72","1,836","€ 19,69",BP,FC977082
08/11/2025,VH-001,"11,94","1,575","€ 18,81",Shell,FC772382
25/04/2026,VH-001,"10,84","1,677","€ 18,18",EKO,FC144357
23/02/2025,VH-001,"8,80","1,708","€ 15,03",BP,FC997160
