week_starting,platform,gross_fares,commission_pct,commission_amount,fixed_fees,net_payout
30/06/2025,CityHail,2698.06,18%,485.65,525.7,1686.71
30/06/2025,RideGo,5214.87,23%,1199.42,0.0,4015.45
07/07/2025,CityHail,2981.98,18%,536.76,409.46,2035.76
07/07/2025,RideGo,6417.56,23%,1476.04,0.0,4941.52
14/07/2025,CityHail,2822.96,18%,508.13,360.54,1954.29
14/07/2025,RideGo,6286.36,23%,1445.86,0.0,4840.5
21/07/2025,CityHail,3094.16,18%,556.95,508.68,2028.53
21/07/2025,RideGo,5509.55,23%,1267.2,0.0,4242.35
28/07/2025,CityHail,2831.71,18%,509.71,356.66,1965.34
28/07/2025,RideGo,6024.13,23%,1385.55,0.0,4638.58
04/08/2025,CityHail,2749.48,18%,494.91,392.96,1861.61
04/08/2025,RideGo,6661.51,23%,1532.15,0.0,5129.36
11/08/2025,CityHail,2795.3,18%,503.15,515.47,1776.68
11/08/2025,RideGo,6474.39,23%,1489.11,0.0,4985.28
18/08/2025,CityHail,2782.19,18%,500.79,438.04,1843.36
18/08/2025,RideGo,5989.89,23%,1377.67,0.0,4612.22
25/08/2025,CityHail,3043.57,18%,547.84,595.64,1900.09
25/08/2025,RideGo,6272.72,23%,1442.73,0.0,4829.99
01/09/2025,CityHail,2750.38,18%,495.07,592.86,1662.45
01/09/2025,RideGo,5899.28,23%,1356.83,0.0,4542.45
08/09/2025,CityHail,3009.01,18%,541.62,477.77,1989.62
08/09/2025,RideGo,6634.49,23%,1525.93,0.0,5108.56
15/09/2025,CityHail,3185.28,18%,573.35,321.44,2290.49
15/09/2025,RideGo,6119.06,23%,1407.38,0.0,4711.68
22/09/2025,CityHail,2727.51,18%,490.95,575.58,1660.98
22/09/2025,RideGo,6030.56,23%,1387.03,0.0,4643.53
29/09/2025,CityHail,3004.61,18%,540.83,296.8,2166.98
29/09/2025,RideGo,5971.74,23%,1373.5,0.0,4598.24
06/10/2025,CityHail,3522.22,18%,634.0,517.07,2371.15
06/10/2025,RideGo,6577.43,23%,1512.81,0.0,5064.62
13/10/2025,CityHail,3339.37,18%,601.09,463.71,2274.57
13/10/2025,RideGo,6433.27,23%,1479.65,0.0,4953.62
20/10/2025,CityHail,3023.08,18%,544.15,204.06,2274.87
20/10/2025,RideGo,6481.11,23%,1490.66,0.0,4990.45
27/10/2025,CityHail,2782.61,18%,500.87,265.2,2016.54
27/10/2025,RideGo,6442.34,23%,1481.74,0.0,4960.6
03/11/2025,CityHail,2608.82,18%,469.59,249.91,1889.32
03/11/2025,RideGo,6194.06,23%,1424.63,0.0,4769.43
10/11/2025,CityHail,2769.13,18%,498.44,282.15,1988.54
10/11/2025,RideGo,5344.28,23%,1229.18,0.0,4115.1
17/11/2025,CityHail,3458.09,18%,622.46,243.87,2591.76
17/11/2025,RideGo,6579.97,23%,1513.39,0.0,5066.58
24/11/2025,CityHail,2904.49,18%,522.81,303.47,2078.21
24/11/2025,RideGo,6124.42,23%,1408.62,0.0,4715.8
01/12/2025,CityHail,3318.34,18%,597.3,574.58,2146.46
01/12/2025,RideGo,6191.06,23%,1423.94,0.0,4767.12
