trip_id,trip_datetime,driver_id,vehicle_id,pickup_zone,dropoff_zone,distance_km,duration_min,fare_eur,payment
T11000000,2025-01-25 03:47:00,DR-1054,VH-005,Suburbs,Port,3.39,12.0,"10,66",cash
T11000001,2025-04-01 14:36:00,DR-1056,VH-018,Port,Port,7.42,27.2,"19,55",Card
T11000002,2025-05-09 00:29:00,DR-1031,VH-035,North,Port,14.9,64.3,"38,54",wallet
T11000003,2025-01-27 09:55:00,DR-1023,VH-036,Port,North,2.63,10.1,"9,25",cash
T11000004,2025-04-10 01:32:00,DR-1011,VH-006,Centre,West,4.24,19.8,"13,82",Card
T11000005,2025-01-24 18:56:00,DR-1056,VH-024,Centre,North,8.46,26.7,"20,61",card
T11000006,2025-06-27 14:52:00,DR-1026,VH-003,Airport,Centre,1.36,5.8,"6,59",card
T11000007,2025-03-08 03:30:00,DR-1017,VH-033,Airport,West,6.86,35.4,"21,20",cash
T11000008,2025-03-22 15:59:00,DR-1009,VH-005,West,North,8.44,27.2,"20,72",CASH
T11000009,2025-02-19 20:08:00,DR-1047,VH-029,North,North,19.08,69.6,"44,83",card
T11000010,2025-03-04 18:14:00,DR-1017,VH-013,Port,Suburbs,11.18,40.7,"27,65",wallet
T11000011,2025-05-02 11:30:00,DR-1018,VH-012,North,Suburbs,0.89,5.1,"5,85",wallet
T11000012,2025-06-20 19:50:00,DR-1026,VH-042,North,Airport,3.7,19.7,"13,17",CASH
T11000013,2025-04-10 23:58:00,DR-1025,VH-014,East,West,9.67,48.4,"28,07",wallet
T11000014,2025-01-25 04:18:00,DR-1052,VH-029,Airport,North,6.19,21.8,"16,62",Card
T11000015,2025-04-11 19:29:00,DR-1039,VH-024,East,East,5.41,23.0,"16,06",cash
T11000016,2025-06-28 08:55:00,DR-1033,VH-028,Port,Airport,7.17,32.9,"20,86",card
T11000017,2025-04-18 17:14:00,DR-1064,VH-004,North,Suburbs,1.1,9.8,"7,41",cash
T11000018,2025-04-18 19:53:00,DR-1022,VH-027,Airport,Suburbs,4.53,21.5,"14,63",cash
T11000019,2025-06-06 23:07:00,DR-1056,VH-007,East,Centre,3.82,15.0,"11,99",CASH
T11000020,2025-05-21 11:41:00,DR-1013,VH-017,Port,North,2.76,16.0,"11,05",wallet
T11000021,2025-02-20 00:04:00,DR-1033,VH-017,East,East,5.16,18.7,"14,57",wallet
