trip_id;trip_start_utc;driver_id;vehicle_id;pickup_zone;dropoff_zone;distance_km;duration_min;fare_amount;payment;platform;surge_multiplier
T33000000;2026-06-09T10:22:00+03:00;DR-1067;VH-018;Airport;Suburbs;2.42;10.3;10.88;card;RideGo;1.2
T33000001;2026-04-13T19:54:00+03:00;DR-1010;VH-009;Suburbs;West;6.68;24.2;32.15;cash;CityHail;1.8
T33000002;2026-02-24T06:31:00+03:00;DR-1021;VH-033;North;Centre;2.9;9.2;9.31;CASH;RideGo;1.0
T33000003;2026-04-17T06:21:00+03:00;DR-1049;VH-008;Port;Centre;4.18;16.6;12.86;CASH;CityHail;1.0
T33000004;2026-06-17T18:51:00+03:00;DR-1061;VH-006;East;Airport;1.84;9.6;8.2;cash;CityHail;1.0
T33000005;2026-04-09T09:12:00+03:00;DR-1062;VH-030;North;West;2.38;8.2;8.43;wallet;RideGo;1.0
T33000006;2026-05-02T12:24:00+03:00;DR-1061;VH-019;Airport;Centre;3.42;15.1;13.87;CASH;RideGo;1.2
T33000007;2026-02-13T12:02:00+03:00;DR-1068;VH-033;Centre;Airport;6.69;24.4;17.93;wallet;Direct;1.0
T33000008;2026-01-11T02:51:00+03:00;DR-1059;VH-010;Centre;East;5.73;18.2;18.11;cash;Direct;1.2
T33000009;2026-03-04T02:00:00+03:00;DR-1009;VH-017;North;East;8.92;41.6;25.31;CASH;RideGo;1.0
T33000010;2026-06-20T18:09:00+03:00;DR-1001;VH-031;Airport;East;2.85;15.3;10.96;card;CityHail;1.0
T33000011;2026-05-26T13:01:00+03:00;DR-1019;VH-015;Airport;West;7.49;24.0;22.48;Card;RideGo;1.2
T33000012;2026-01-23T12:42:00+03:00;DR-1050;VH-013;East;Port;8.74;35.6;23.42;Card;RideGo;1.0
T33000013;2026-03-20T03:24:00+03:00;DR-1017;VH-027;West;Centre;6.18;23.4;25.59;wallet;RideGo;1.5
T33000014;2026-06-04T01:38:00+03:00;DR-1042;VH-032;North;West;3.85;15.8;12.25;wallet;Direct;1.0
T33000015;2026-06-20T14:17:00+03:00;DR-1005;VH-040;Suburbs;East;3.91;10.5;19.51;Card;RideGo;1.8
T33000016;2026-02-12T22:39:00+03:00;DR-1010;VH-030;Port;East;10.74;34.4;30.46;wallet;Direct;1.2
T33000017;2026-03-15T02:12:00+03:00;DR-917;VH-016;Centre;Airport;3.96;21.6;16.8;wallet;RideGo;1.2
T33000018;2026-03-24T06:15:00+03:00;DR-1043;VH-007;North;East;3.64;19.2;12.96;cash;CityHail;1.0
T33000019;2026-02-14T04:48:00+03:00;DR-1036;VH-004;Suburbs;North;2.93;15.6;16.71;CASH;RideGo;1.5
T33000020;2026-03-29T19:39:00+03:00;DR-1002;VH-007;North;Airport;6.81;35.5;21.17;Card;RideGo;1.0
T33000021;2026-05-27T15:15:00+03:00;DR-1013;VH-024;Airport;Centre;3.72;15.8;12.1;card;RideGo;1.0
T33000022;2026-02-20T07:12:00+03:00;DR-1068;VH-008;Centre;Airport;2.66;14.0;10.38;card;RideGo;1.0
T33000023;2026-04-08T22:42:00+03:00;DR-1035;VH-008;Port;North;3.58;14.6;13.92;Card;CityHail;1.2
T33000024;2026-05-24T16:21:00+03:00;DR-1005;VH-036;North;East;5.44;23.4;24.32;cash;RideGo;1.5
T33000025;2026-06-02T06:45:00+03:00;DR-1016;VH-015;West;Port;4.71;18.2;13.91;wallet;CityHail;1.0
T33000026;2026-01-08T12:39:00+03:00;DR-1049;VH-020;Airport;East;1.76;11.0;10.2;CASH;CityHail;1.2
T33000027;2026-05-06T02:45:00+03:00;DR-1025;VH-025;West;North;7.29;23.3;18.31;CASH;RideGo;1.0
T33000028;2026-01-08T04:04:00+03:00;DR-1061;VH-021;West;Port;2.25;11.9;16.78;wallet;CityHail;1.8
T33000029;2026-06-27T12:32:00+03:00;DR-1035;VH-004;East;Centre;4.52;18.5;13.78;Card;CityHail;1.0
T33000030;2026-03-26T15:12:00+03:00;DR-1033;VH-011;Centre;Port;3.1;15.8;20.5;cash;CityHail;1.8
T33000031;2026-05-02T10:42:00+03:00;DR-1045;VH-019;North;-;1.29;9.1;7.43;cash;Direct;1.0
T33000032;2026-04-11T02:27:00+03:00;DR-1014;VH-008;West;Centre;7.89;39.9;23.65;Card;CityHail;1.0
T33000033;2026-01-14T17:17:00+03:00;DR-933;VH-032;Suburbs;Airport;1.38;8.9;7.48;Card;CityHail;1.0
T33000034;2026-06-30T03:33:00+03:00;DR-1019;VH-014;North;West;2.74;12.4;15.03;wallet;RideGo;1.5
T33000035;2026-05-16T11:28:00+03:00;DR-1055;VH-011;East;East;4.03;14.7;14.58;cash;CityHail;1.2
T33000036;2026-05-12T04:46:00+03:00;DR-1039;VH-008;Suburbs;Port;19.89;90.5;51.61;card;RideGo;1.0
T33000037;2026-03-14T00:11:00+03:00;DR-1015;VH-035;Suburbs;Suburbs;12.14;51.4;38.1;cash;RideGo;1.2
T33000038;2026-03-24T17:42:00+03:00;DR-1007;VH-035;Airport;North;1.4;7.9;10.83;Card;RideGo;1.5
T33000039;2026-03-14T12:51:00+03:00;DR-1004;VH-009;Centre;Suburbs;3.63;16.3;18.21;CASH;Direct;1.5
T33000040;2026-06-16T17:35:00+03:00;DR-940;VH-002;Airport;North;10.59;40.0;48.2;card;RideGo;1.8
T33000041;2026-03-26T12:34:00+03:00;DR-1048;VH-036;Port;East;3.91;12.9;11.51;cash;CityHail;1.0
T33000042;2026-06-17T23:53:00+03:00;DR-1054;VH-036;West;Airport;6.44;28.0;18.65;wallet;RideGo;1.0
T33000043;2026-05-11T00:25:00+03:00;DR-1048;VH-029;Port;Centre;7.73;40.0;23.49;wallet;CityHail;1.0
T33000044;2026-05-19T09:39:00+03:00;DR-1051;VH-041;Port;Port;8.09;27.7;20.46;card;CityHail;1.0
T33000045;2026-06-04T11:37:00+03:00;DR-1042;VH-021;Suburbs;East;1.91;8.2;7.89;card;CityHail;1.0
T33000046;2026-04-22T16:16:00+03:00;DR-1067;VH-020;Airport;West;7.84;29.2;24.71;CASH;RideGo;1.2
T33000047;2026-01-30T06:26:00+03:00;DR-1052;VH-010;Suburbs;-;2.12;12.7;14.08;card;RideGo;1.5
T33000048;2026-06-19T00:43:00+03:00;DR-1055;VH-029;Suburbs;West;10.56;41.5;27.16;CASH;Direct;1.0
T33000049;2026-04-08T17:01:00+03:00;DR-1033;VH-014;Airport;North;12.75;44.4;30.49;wallet;RideGo;1.0
T33000050;2026-01-10T15:12:00+03:00;DR-1043;VH-037;North;-;3.53;16.4;12.05;CASH;CityHail;1.0
T33000051;2026-01-27T09:04:00+03:00;DR-1015;VH-041;East;East;15.51;65.6;39.6;cash;RideGo;1.0
T33000052;2026-04-25T03:15:00+03:00;DR-1008;VH-022;Airport;North;19.37;69.9;54.3;wallet;RideGo;1.2
T33000053;2026-03-17T14:29:00+03:00;DR-1006;VH-040;West;Suburbs;5.49;21.2;15.65;card;CityHail;1.0
T33000054;2026-04-27T06:36:00+03:00;DR-1041;VH-012;Airport;West;3.85;17.2;12.64;cash;CityHail;1.0
T33000055;2026-04-23T05:36:00+03:00;DR-1035;VH-029;East;North;5.23;21.0;18.35;wallet;CityHail;1.2
T33000056;2026-02-21T05:36:00+03:00;DR-1055;VH-017;Centre;East;3.09;11.1;18.11;CASH;RideGo;1.8
T33000057;2026-03-11T13:55:00+03:00;DR-1042;VH-026;North;Centre;5.26;22.6;23.67;wallet;CityHail;1.5
T33000058;2026-06-16T11:12:00+03:00;DR-1012;VH-016;East;North;0.84;4.6;5.65;CASH;CityHail;1.0
T33000059;2026-05-28T07:40:00+03:00;DR-1029;VH-021;Suburbs;North;7.66;24.9;28.77;cash;CityHail;1.5
T33000060;2026-01-21T15:27:00+03:00;DR-1019;VH-027;Suburbs;Suburbs;4.42;16.3;15.66;Card;CityHail;1.2
T33000061;2026-06-09T04:02:00+03:00;DR-1067;VH-036;Centre;West;3.04;13.9;16.18;cash;CityHail;1.5
T33000062;2026-03-30T13:23:00+03:00;DR-1030;VH-007;North;North;3.38;15.6;20.99;card;CityHail;1.8
T33000063;2026-06-12T18:33:00+03:00;DR-1018;VH-038;North;Airport;1.7;12.4;8.83;CASH;RideGo;1.0
T33000064;2026-03-09T00:07:00+03:00;DR-1049;VH-003;Port;East;7.16;25.2;33.64;wallet;RideGo;1.8
T33000065;2026-06-20T17:44:00+03:00;DR-1046;VH-003;Port;North;1.97;8.6;14.53;card;CityHail;1.8
T33000066;2026-04-28T09:47:00+03:00;DR-1020;VH-030;Centre;West;7.68;34.1;21.78;Card;RideGo;1.0
T33000067;2026-02-02T19:01:00+03:00;DR-1043;VH-012;West;North;7.46;31.8;31.32;CASH;Direct;1.5
T33000068;2026-01-23T22:44:00+03:00;DR-1065;VH-038;Suburbs;East;2.87;11.3;17.75;card;CityHail;1.8
T33000069;2026-06-01T15:07:00+03:00;DR-1033;VH-033;Port;Airport;2.05;8.1;8.03;wallet;CityHail;1.0
T33000070;2026-02-09T03:20:00+03:00;DR-1017;VH-023;North;East;4.02;20.2;13.68;CASH;CityHail;1.0
T33000071;2026-05-09T10:08:00+03:00;DR-1029;VH-002;West;Port;9.45;37.3;24.71;card;RideGo;1.0
T33000072;2026-03-24T13:06:00+03:00;DR-1063;VH-021;Port;Port;7.47;30.0;24.47;Card;RideGo;1.2
T33000073;2026-03-07T20:34:00+03:00;DR-1042;VH-011;Centre;West;5.85;25.9;17.38;wallet;RideGo;1.0
T33000074;2026-06-11T15:36:00+03:00;DR-1012;VH-033;North;Port;6.04;20.3;16.03;Card;RideGo;1.0
T33000075;2026-02-24T10:18:00+03:00;DR-1061;VH-021;Suburbs;Port;4.05;11.8;11.36;card;RideGo;1.0
T33000076;2026-04-29T04:48:00+03:00;DR-1051;VH-015;Suburbs;East;13.64;60.8;65.0;CASH;RideGo;1.8
T33000077;2026-06-23T06:26:00+03:00;DR-977;VH-019;Suburbs;East;4.99;24.6;24.04;wallet;CityHail;1.5
T33000078;2026-05-16T01:50:00+03:00;DR-1030;VH-031;Airport;Airport;11.77;51.6;31.38;card;RideGo;1.0
T33000079;2026-03-31T08:39:00+03:00;DR-1030;VH-014;Centre;Port;11.74;44.8;52.99;cash;CityHail;1.8
T33000080;2026-04-28T21:12:00+03:00;DR-1021;VH-008;Suburbs;Centre;3.01;15.1;11.09;card;CityHail;1.0
T33000081;2026-02-28T23:47:00+03:00;DR-1021;VH-013;Centre;North;1.7;9.6;12.06;wallet;Direct;1.5
T33000082;2026-03-06T16:31:00+03:00;DR-1048;VH-040;Port;Centre;10.54;30.9;43.51;CASH;Direct;1.8
T33000083;2026-06-18T00:20:00+03:00;DR-1062;VH-032;West;Centre;24.03;85.4;54.95;card;RideGo;1.0
