vehicle_id,plate,make,model,fuel_type,seats,acquired_date,status,odometer_km
VH-001,NBK-6066,Skoda,Octavia,diesel,4.0,12/02/2021,ACTIVE,163179
VH-002,NBK-5213,Toyota,Prius,HYB,4.0,23/09/2022,ACTIVE,309936
VH-003,NCM-1220,Toyota,Corolla,HYB,4.0,20/05/2024,ACTIVE,115616
VH-004,NAB-9057,VW,Passat,DIESEL,6.0,27/05/2022,Off-fleet,209000
VH-005,NAB-5653,Peugeot,508,Diesel,,09/01/2022,Sold,113225
VH-006,NBK-7917,Nissan,Leaf,EV,4.0,14/02/2019,In Service,62797
VH-007,NDR-9393,Kia,Niro,hybrid,4.0,05/09/2019,Off-fleet,135905
VH-008,NBK-8406,Ford,Mondeo,Gasoline,4.0,06/09/2019,In Service,113056
VH-009,NBK-2753,Skoda,Octavia,diesel,4.0,22/05/2020,Sold,236458
VH-010,NCM-5555,Toyota,Prius,Hybrid,4.0,18/01/2024,Active,401623
VH-011,NCM-1014,Toyota,Corolla,hybrid,4.0,17/10/2020,active,153400
VH-012,NDR-4409,VW,Passat,N/A,6.0,26/02/2019,In Service,192615
VH-013,NDR-8398,Peugeot,508,DIESEL,6.0,15/09/2021,Active,80608
VH-014,NDR-9103,Nissan,Leaf,ELEC,4.0,19/12/2019,Active,155604
VH-015,NAB-4845,Kia,Niro,hybrid,7.0,29/05/2019,Sold,242939
VH-016,NCM-7856,Ford,Mondeo,petrol,4.0,10/02/2020,Active,103918
VH-017,NBK-8808,Skoda,Octavia, Diesel,4.0,31/05/2024,Active,79154
VH-018,NBK-2826,Toyota,Prius,HYB,4.0,02/04/2020,In Service,328666
VH-019,NBK-1320,Toyota,Corolla,Hybrid ,4.0,06/09/2019,sold,43992
VH-020,NCM-4767,VW,Passat,Diesel,4.0,,ACTIVE,294741
VH-021,NAB-2595,Peugeot,508, Diesel,6.0,06/08/2024,Sold,220862
VH-022,NBK-1441,Nissan,Leaf,Electric,4.0,09/08/2023,ACTIVE,40663
VH-023,NAB-1624,Kia,Niro,Hybrid ,4.0,27/01/2023,sold,411916
VH-024,NBK-1551,Ford,Mondeo,PET,4.0,22/02/2019,active,416388
VH-025,NAB-3188,Skoda,Octavia, Diesel,7.0,28/10/2021,In Service,87391
VH-026,NBK-3626,Toyota,Prius,Hybrid ,4.0,11/09/2023,Sold,330186
VH-027,NAB-3907,Toyota,Corolla,hybrid,6.0,27/04/2023,Active,-1
VH-028,NCM-8896,VW,Passat,DSL,4.0,03/12/2022,ACTIVE,102445
VH-029,NAB-3357,Peugeot,508,DSL,4.0,29/12/2023,ACTIVE,163994
VH-030,NDR-5105,Nissan,Leaf,ELEC,4.0,03/10/2021,Sold,100199
VH-031,NDR-2910,Kia,Niro,Hybrid ,4.0,21/08/2022,Active,51442
VH-032,NDR-9294,Ford,Mondeo,petrol,4.0,20/04/2021,Active,134860
VH-033,NDR-3677,Skoda,Octavia,Diesel,4.0,04/05/2024,Active,313098
VH-034,NCM-1021,Toyota,Prius,Hybrid ,7.0,16/09/2024,Active,409326
VH-035,NDR-5705,Toyota,Corolla,Hybrid,4.0,13/06/2021,Active,300172
VH-036,NCM-2082,VW,Passat,DSL,4.0,23/04/2024,ACTIVE,375204
VH-037,NAB-1201,Peugeot,508,DSL,4.0,02/11/2023,ACTIVE,337771
VH-038,NAB-4137,Nissan,Leaf,EV,4.0,21/08/2024,Active,251277
VH-039,NCM-9169,Kia,Niro,Hybrid,4.0,14/04/2023,In Service,344128
VH-040,NCM-8590,Ford,Mondeo,Gasoline,4.0,30/06/2020,sold,334615
VH-041,NAB-5922,Skoda,Octavia,diesel,6.0,01/09/2024,In Service,360645
VH-042,NBK-4193,Toyota,Prius,HYB,7.0,12/10/2021,In Service,82793
VH-019,NBK-1320,Toyota,Corolla,Hybrid ,4.0,06/09/2019,sold,28992
VH-035,NDR-5705,Toyota,Corolla,Hybrid,4.0,13/06/2021,Active,300172
VH-016,NCM-7856,Ford,Mondeo,petrol,4.0,10/02/2020,Active,103918
